DATE,TIME,PARA_NAME,VALUE,DIMENSION
01/29/2020,13:09:36,GEN_V_L1-N,0,V
01/29/2020,13:09:37,GEN_V_L2-N,0,V
01/29/2020,13:09:37,GEN_V_L3-N,0,V
01/29/2020,13:09:37,GEN_V_L1-L2,0,V
01/29/2020,13:09:37,GEN_V_L2-L3,0,V
01/29/2020,13:09:38,GEN_V_L3-L1,0,V
01/29/2020,13:09:38,GEN_I_L1,0,A
01/29/2020,13:09:38,GEN_I_L2,0,A
01/29/2020,13:09:38,GEN_I_L3,0,A
01/29/2020,13:09:39,GEN_RPM,0,RPM
01/29/2020,13:09:39,GEN_FREQ,0.0,Hz
01/29/2020,13:09:39,GEN_kW,0,kW
01/29/2020,13:09:40,GEN_kW_L1,0,kW
01/29/2020,13:09:40,GEN_kW_L2,0,kW
01/29/2020,13:09:40,GEN_kW_L3,0,kW
01/29/2020,13:09:40,GEN_NOM_kVA,800,kVA
01/29/2020,13:09:41,GEN_kVAr,0,kVAr
01/29/2020,13:09:41,GEN_KVAr_L1,0,kVAr
01/29/2020,13:09:41,GEN_kVAr_L2,0,kVAr
01/29/2020,13:09:41,GEN_kVAr_L3,0,kVAr
01/29/2020,13:09:42,GEN_PF,0.0,UNIT
01/29/2020,13:09:42,GEN_PF_L1,0.0,UNIT
01/29/2020,13:09:42,GEN_PF_L2,0.0,UNIT
01/29/2020,13:09:42,GEN_PF_L3,0.0,UNIT
01/29/2020,13:09:43,GEN_kVA,0,kVA
01/29/2020,13:09:43,GEN_kVA_L1,0,kVA
01/29/2020,13:09:43,GEN_kVA_L2,0,kVA
01/29/2020,13:09:43,GEN_kVA_L3,0,kVA
01/29/2020,13:09:44,GEN_E_FAULT,655.35,A
01/29/2020,13:09:44,BAT_VOLT,21.4,V
01/29/2020,13:09:44,CHR_VOLT,21.3,V
01/29/2020,13:09:45,OIL_PRESS,3276.8,BAR
01/29/2020,13:09:45,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,13:09:45,FUEL_LEVEL,32768,%
